sentence id,sentence,PLL score,nr. of tokens
tensor(460),The detective found the assailant.,-36.99224090576172,7
tensor(461),The assailant found the detective.,-41.818153381347656,7
tensor(462),The assailant was found by the detective.,-40.644020080566406,9
tensor(463),The detective was found by the assailant.,-43.27880859375,9
tensor(464),The sleuth located the attacker.,-47.15141296386719,8
tensor(465),The attacker located the sleuth.,-49.23725891113281,8
tensor(466),The attacker was located by the sleuth.,-48.76948165893555,10
tensor(467),The sleuth was located by the attacker.,-50.1640739440918,10
tensor(468),The artisan trained the apprentice.,-44.54094696044922,7
tensor(469),The apprentice trained the artisan.,-43.6911506652832,7
tensor(470),The apprentice was trained by the artisan.,-42.45188903808594,9
tensor(471),The artisan was trained by the apprentice.,-44.72951889038086,9
tensor(472),The craftsman taught the trainee.,-47.22789001464844,9
tensor(473),The trainee taught the craftsman.,-43.69567108154297,9
tensor(474),The trainee was taught by the craftsman.,-49.32540512084961,11
tensor(475),The craftsman was taught by the trainee.,-48.38527297973633,11
tensor(476),The biker defied the trainer.,-45.934814453125,8
tensor(477),The trainer defied the biker.,-50.11295700073242,8
tensor(478),The trainer was defied by the biker.,-51.372596740722656,10
tensor(479),The biker was defied by the trainer.,-50.20136260986328,10
tensor(480),The cyclist disobeyed the coach.,-44.90586853027344,8
tensor(481),The coach disobeyed the cyclist.,-47.43684768676758,8
tensor(482),The coach was disobeyed by the cyclist.,-52.43905258178711,10
tensor(483),The cyclist was disobeyed by the coach.,-49.31342315673828,10
tensor(484),The speaker engrossed the audience.,-40.858009338378906,9
tensor(485),The audience engrossed the speaker.,-45.90719223022461,9
tensor(486),The audience was engrossed by the speaker.,-42.938682556152344,11
tensor(487),The speaker was engrossed by the audience.,-43.93462371826172,11
tensor(488),The genius shocked the cousin.,-51.23133850097656,7
tensor(489),The cousin shocked the genius.,-44.38747024536133,7
tensor(490),The cousin was shocked by the genius.,-47.073211669921875,9
tensor(491),The genius was shocked by the cousin.,-51.31212615966797,9
tensor(492),The prodigy surprised the relative.,-48.67412185668945,8
tensor(493),The relative surprised the prodigy.,-50.55744171142578,8
tensor(494),The relative was surprised by the prodigy.,-52.75856399536133,10
tensor(495),The prodigy was surprised by the relative.,-51.98236846923828,10
tensor(496),The smuggler bribed the bureaucrat.,-51.166954040527344,10
tensor(497),The bureaucrat bribed the smuggler.,-46.869834899902344,10
tensor(498),The bureaucrat was bribed by the smuggler.,-50.39041519165039,12
tensor(499),The smuggler was bribed by the bureaucrat.,-49.4766731262207,12
tensor(500),The amateur irked the maestro.,-54.294158935546875,9
tensor(501),The maestro irked the amateur.,-52.61761474609375,9
tensor(502),The maestro was irked by the amateur.,-55.40238571166992,11
tensor(503),The amateur was irked by the maestro.,-58.074729919433594,11
tensor(504),The novice irritated the virtuoso.,-47.873897552490234,9
tensor(505),The virtuoso irritated the novice.,-50.73135757446289,9
tensor(506),The virtuoso was irritated by the novice.,-56.572509765625,11
tensor(507),The novice was irritated by the virtuoso.,-53.84535598754883,11
tensor(508),The lawyer questioned the witness.,-36.87931823730469,7
tensor(509),The witness questioned the lawyer.,-38.93589782714844,7
tensor(510),The witness was questioned by the lawyer.,-38.7351188659668,9
tensor(511),The lawyer was questioned by the witness.,-39.7547492980957,9
tensor(512),The attorney interrogated the bystander.,-48.262489318847656,8
tensor(513),The bystander interrogated the attorney.,-47.42079544067383,8
tensor(514),The bystander was interrogated by the attorney.,-48.0532341003418,10
tensor(515),The attorney was interrogated by the bystander.,-50.12566375732422,10
tensor(516),The singer disappointed the enthusiast.,-48.707069396972656,7
tensor(517),The enthusiast disappointed the singer.,-51.205360412597656,7
tensor(518),The enthusiast was disappointed by the singer.,-51.212039947509766,9
tensor(519),The singer was disappointed by the enthusiast.,-51.61940002441406,9
tensor(520),The vocalist disillusioned the connoisseur.,-53.16123580932617,12
tensor(521),The connoisseur disillusioned the vocalist.,-57.06561279296875,12
tensor(522),The connoisseur was disillusioned by the vocalist.,-55.14555358886719,14
tensor(523),The vocalist was disillusioned by the connoisseur.,-56.383392333984375,14
tensor(524),The chauffeur drove the diplomat.,-41.759674072265625,9
tensor(525),The diplomat drove the chauffeur.,-41.002708435058594,9
tensor(526),The diplomat was driven by the chauffeur.,-48.00680160522461,11
tensor(527),The chauffeur was driven by the diplomat.,-46.14601135253906,11
tensor(528),The driver transported the ambassador.,-44.19923400878906,7
tensor(529),The ambassador transported the driver.,-44.38317108154297,7
tensor(530),The ambassador was transported by the driver.,-44.88909912109375,9
tensor(531),The driver was transported by the ambassador.,-44.587589263916016,9
tensor(532),The guard apprehended the prisoner.,-40.67569351196289,7
tensor(533),The prisoner apprehended the guard.,-44.44575881958008,7
tensor(534),The prisoner was apprehended by the guard.,-39.18558883666992,9
tensor(535),The guard was apprehended by the prisoner.,-43.3734245300293,9
tensor(536),The warden caught the inmate.,-40.16376495361328,8
tensor(537),The inmate caught the warden.,-44.634246826171875,8
tensor(538),The inmate was caught by the warden.,-42.1718864440918,10
tensor(539),The warden was caught by the inmate.,-44.03505325317383,10
tensor(540),The tailor costumed the dancer.,-52.20378875732422,8
tensor(541),The dancer costumed the tailor.,-50.57039260864258,8
tensor(542),The dancer was costumed by the tailor.,-51.0938835144043,10
tensor(543),The tailor was costumed by the dancer.,-53.154823303222656,10
tensor(544),The dressmaker attired the ballerina.,-55.33429718017578,11
tensor(545),The ballerina attired the dressmaker.,-58.55441665649414,11
tensor(546),The ballerina was attired by the dressmaker.,-59.990684509277344,13
tensor(547),The dressmaker was attired by the ballerina.,-58.75554656982422,13
tensor(548),The principal scolded the child.,-43.150001525878906,8
tensor(549),The child scolded the principal.,-40.441890716552734,8
tensor(550),The child was scolded by the principal.,-38.41081237792969,10
tensor(551),The principal was scolded by the child.,-43.52342987060547,10
tensor(552),The headmaster reprimanded the kid.,-40.969444274902344,9
tensor(553),The kid reprimanded the headmaster.,-42.400569915771484,9
tensor(554),The kid was reprimanded by the headmaster.,-39.720375061035156,11
tensor(555),The headmaster was reprimanded by the kid.,-42.30414581298828,11
tensor(556),The lord named the heir.,-42.07107925415039,7
tensor(557),The heir named the lord.,-40.219173431396484,7
tensor(558),The heir was named by the lord.,-41.74781036376953,9
tensor(559),The lord was named by the heir.,-44.94466781616211,9
tensor(560),The baron chose the successor.,-44.40221405029297,8
tensor(561),The successor chose the baron.,-51.22312927246094,8
tensor(562),The successor was chosen by the baron.,-47.29572296142578,10
tensor(563),The baron was chosen by the successor.,-46.294349670410156,10
tensor(564),The cop restrained the rioter.,-43.320735931396484,8
tensor(565),The rioter restrained the cop.,-43.89788818359375,8
tensor(566),The rioter was restrained by the cop.,-43.044395446777344,10
tensor(567),The cop was restrained by the rioter.,-44.38982391357422,10
tensor(568),The policeman subdued the rabble-rouser.,-48.6953239440918,11
tensor(569),The rabble-rouser subdued the policeman.,-58.061912536621094,11
tensor(570),The rabble-rouser was subdued by the policeman.,-56.155128479003906,13
tensor(571),The policeman was subdued by the rabble-rouser.,-50.676780700683594,13
tensor(572),The dad coddled the baby.,-38.56216049194336,9
tensor(573),The baby coddled the dad.,-39.91871643066406,9
tensor(574),The baby was coddled by the dad.,-39.641387939453125,11
tensor(575),The dad was coddled by the baby.,-43.03361892700195,11
tensor(576),The father pampered the infant.,-40.544368743896484,9
tensor(577),The infant pampered the father.,-43.18265151977539,9
tensor(578),The infant was pampered by the father.,-43.179046630859375,11
tensor(579),The father was pampered by the infant.,-44.43220138549805,11
tensor(580),The king exiled the rebel.,-41.38649368286133,7
tensor(581),The rebel exiled the king.,-39.73892593383789,7
tensor(582),The rebel was exiled by the king.,-40.67909622192383,9
tensor(583),The king was exiled by the rebel.,-41.3841552734375,9
tensor(584),The monarch banished the insurgent.,-49.86966323852539,7
tensor(585),The insurgent banished the monarch.,-47.99345397949219,7
tensor(586),The insurgent was banished by the monarch.,-48.5722770690918,9
tensor(587),The monarch was banished by the insurgent.,-51.396018981933594,9
tensor(588),The thief robbed the manufacturer.,-40.135860443115234,7
tensor(589),The manufacturer robbed the thief.,-42.27135467529297,7
tensor(590),The manufacturer was robbed by the thief.,-41.713504791259766,9
tensor(591),The thief was robbed by the manufacturer.,-42.42337417602539,9
tensor(592),The robber burgled the industrialist.,-53.52711868286133,9
tensor(593),The industrialist burgled the robber.,-51.41204071044922,9
tensor(594),The industrialist was burgled by the robber.,-47.341217041015625,11
tensor(595),The robber was burgled by the industrialist.,-53.26054763793945,11
tensor(596),The pessimist discouraged the contestant.,-49.438045501708984,8
tensor(597),The contestant discouraged the pessimist.,-53.040855407714844,8
tensor(598),The contestant was discouraged by the pessimist.,-55.48942565917969,10
tensor(599),The pessimist was discouraged by the contestant.,-54.3173942565918,10
tensor(600),The cynic dissuaded the participant.,-51.6685905456543,9
tensor(601),The participant dissuaded the cynic.,-52.30824661254883,9
tensor(602),The participant was dissuaded by the cynic.,-53.45245361328125,11
tensor(603),The cynic was dissuaded by the participant.,-52.52360534667969,11
tensor(604),The loudmouth tormented the loner.,-51.790000915527344,10
tensor(605),The loner tormented the loudmouth.,-52.64881134033203,10
tensor(606),The loner was tormented by the loudmouth.,-51.93476486206055,12
tensor(607),The loudmouth was tormented by the loner.,-54.520973205566406,12
tensor(608),The windbag taunted the recluse.,-56.084129333496094,10
tensor(609),The recluse taunted the windbag.,-54.8758659362793,10
tensor(610),The recluse was taunted by the windbag.,-55.57965850830078,12
tensor(611),The windbag was taunted by the recluse.,-54.615535736083984,12
tensor(612),The imitator fooled the investigator.,-50.11548614501953,9
tensor(613),The investigator fooled the imitator.,-52.072303771972656,9
tensor(614),The investigator was fooled by the imitator.,-51.16350555419922,11
tensor(615),The imitator was fooled by the investigator.,-52.820919036865234,11
tensor(616),The impersonator conned the inspector.,-52.12660217285156,9
tensor(617),The inspector conned the impersonator.,-50.807830810546875,9
tensor(618),The inspector was conned by the impersonator.,-50.20079803466797,11
tensor(619),The impersonator was conned by the inspector.,-51.62789535522461,11
tensor(620),The boss fired the worker.,-35.50697326660156,7
tensor(621),The worker fired the boss.,-36.57878875732422,7
tensor(622),The worker was fired by the boss.,-36.07740783691406,9
tensor(623),The boss was fired by the worker.,-39.870765686035156,9
tensor(624),The pyromaniac unnerved the shopkeeper.,-55.51683807373047,12
tensor(625),The shopkeeper unnerved the pyromaniac.,-56.30455780029297,12
tensor(626),The shopkeeper was unnerved by the pyromaniac.,-54.53065490722656,14
tensor(627),The pyromaniac was unnerved by the shopkeeper.,-56.44938659667969,14
tensor(628),The arsonist alarmed the vendor.,-50.32489776611328,8
tensor(629),The vendor alarmed the arsonist.,-50.547325134277344,8
tensor(630),The vendor was alarmed by the arsonist.,-54.51580047607422,10
tensor(631),The arsonist was alarmed by the vendor.,-52.58542251586914,10
tensor(632),The professional supported the beginner.,-44.14562225341797,7
tensor(633),The beginner supported the professional.,-44.22570037841797,7
tensor(634),The beginner was supported by the professional.,-48.41288757324219,9
tensor(635),The professional was supported by the beginner.,-48.788665771484375,9
tensor(636),The master encouraged the rookie.,-45.21038055419922,7
tensor(637),The rookie encouraged the master.,-46.99217224121094,7
tensor(638),The rookie was encouraged by the master.,-46.23331069946289,9
tensor(639),The master was encouraged by the rookie.,-49.263851165771484,9
tensor(640),The magician hypnotized the crowd.,-38.7054443359375,8
tensor(641),The crowd hypnotized the magician.,-42.702789306640625,8
tensor(642),The crowd was hypnotized by the magician.,-40.68004608154297,10
tensor(643),The magician was hypnotized by the crowd.,-39.99534606933594,10
tensor(644),The businessman employed the expert.,-46.197364807128906,7
tensor(645),The expert employed the businessman.,-48.00457763671875,7
tensor(646),The expert was employed by the businessman.,-46.757896423339844,9
tensor(647),The businessman was employed by the expert.,-48.20420837402344,9
tensor(648),The entrepreneur hired the specialist.,-44.35968780517578,7
tensor(649),The specialist hired the entrepreneur.,-46.21021270751953,7
tensor(650),The specialist was hired by the entrepreneur.,-44.666446685791016,9
tensor(651),The entrepreneur was hired by the specialist.,-46.63795852661133,9
tensor(652),The terrorist petrified the first lady.,-49.39190673828125,9
tensor(653),The first lady petrified the terrorist.,-46.58283996582031,9
tensor(654),The first lady was petrified by the terrorist.,-48.90116500854492,11
tensor(655),The terrorist was petrified by the first lady.,-51.19548797607422,11
tensor(656),The hijacker terrified the president's wife.,-50.71356201171875,10
tensor(657),The president's wife terrified the hijacker.,-52.12854766845703,10
tensor(658),The president's wife was terrified by the hijacker.,-51.074310302734375,12
tensor(659),The hijacker was terrified by the president's wife.,-54.18030548095703,12
tensor(660),The judge praised the gold medalist.,-43.017311096191406,9
tensor(661),The gold medalist praised the judge.,-48.823753356933594,9
tensor(662),The gold medalist was praised by the judge.,-45.420013427734375,11
tensor(663),The judge was praised by the gold medalist.,-46.75942611694336,11
tensor(664),The panelist congratulated the winner.,-40.22480010986328,8
tensor(665),The winner congratulated the panelist.,-45.915061950683594,8
tensor(666),The winner was congratulated by the panelist.,-48.6320915222168,10
tensor(667),The panelist was congratulated by the winner.,-45.83375930786133,10
tensor(668),The liar emulated the victor.,-45.2260856628418,9
tensor(669),The victor emulated the liar.,-48.332794189453125,9
tensor(670),The victor was emulated by the liar.,-50.71513366699219,11
tensor(671),The liar was emulated by the victor.,-51.53952407836914,11
tensor(672),The deceiver imitated the conqueror.,-51.784019470214844,10
tensor(673),The conqueror imitated the deceiver.,-55.72880554199219,10
tensor(674),The conqueror was imitated by the deceiver.,-55.97956848144531,12
tensor(675),The deceiver was imitated by the conqueror.,-52.920631408691406,12
tensor(676),The environmentalist cautioned the tobacconist.,-57.74584197998047,11
tensor(677),The tobacconist cautioned the environmentalist.,-59.13143539428711,11
tensor(678),The tobacconist was cautioned by the environmentalist.,-60.66789627075195,13
tensor(679),The environmentalist was cautioned by the tobacconist.,-60.969154357910156,13
tensor(680),The alcoholic hassled the guest.,-48.592376708984375,9
tensor(681),The guest hassled the alcoholic.,-47.58034133911133,9
tensor(682),The guest was hassled by the alcoholic.,-51.26615524291992,11
tensor(683),The alcoholic was hassled by the guest.,-55.57503128051758,11
tensor(684),The drunk bothered the visitor.,-44.79713439941406,7
tensor(685),The visitor bothered the drunk.,-48.70185089111328,7
tensor(686),The visitor was bothered by the drunk.,-47.45655059814453,9
tensor(687),The drunk was bothered by the visitor.,-47.68510818481445,9
tensor(688),The commentator vexed the athlete.,-49.9764404296875,8
tensor(689),The athlete vexed the commentator.,-50.19070053100586,8
tensor(690),The athlete was vexed by the commentator.,-51.51170349121094,10
tensor(691),The commentator was vexed by the athlete.,-50.68709945678711,10
tensor(692),The sportscaster peeved the jock.,-56.61569595336914,11
tensor(693),The jock peeved the sportscaster.,-59.4969367980957,11
tensor(694),The jock was peeved by the sportscaster.,-59.659912109375,13
tensor(695),The sportscaster was peeved by the jock.,-58.26282501220703,13
tensor(696),The preacher hugged the churchgoer.,-48.76803207397461,9
tensor(697),The churchgoer hugged the preacher.,-48.195377349853516,9
tensor(698),The churchgoer was hugged by the preacher.,-52.24404525756836,11
tensor(699),The preacher was hugged by the churchgoer.,-51.70815658569336,11
tensor(700),The pastor embraced the parishioner.,-45.45135498046875,9
tensor(701),The parishioner embraced the pastor.,-46.929561614990234,9
tensor(702),The parishioner was embraced by the pastor.,-46.115760803222656,11
tensor(703),The pastor was embraced by the parishioner.,-46.71196746826172,11
tensor(704),The maniac mocked the clown.,-44.15810775756836,7
tensor(705),The clown mocked the maniac.,-44.920440673828125,7
tensor(706),The clown was mocked by the maniac.,-45.68611145019531,9
tensor(707),The maniac was mocked by the clown.,-46.604515075683594,9
tensor(708),The lunatic ridiculed the jester.,-48.161842346191406,9
tensor(709),The jester ridiculed the lunatic.,-48.35638427734375,9
tensor(710),The jester was ridiculed by the lunatic.,-50.7000846862793,11
tensor(711),The lunatic was ridiculed by the jester.,-51.351722717285156,11
tensor(712),The archivist contacted the inventor.,-46.67125701904297,8
tensor(713),The inventor contacted the archivist.,-45.13037872314453,8
tensor(714),The inventor was contacted by the archivist.,-46.13490295410156,10
tensor(715),The archivist was contacted by the inventor.,-48.16877746582031,10
tensor(716),The historian approached the innovator.,-49.636287689208984,8
tensor(717),The innovator approached the historian.,-48.21553421020508,8
tensor(718),The innovator was approached by the historian.,-49.40390396118164,10
tensor(719),The historian was approached by the innovator.,-51.351470947265625,10
tensor(720),The janitor called the landscaper.,-43.26732635498047,9
tensor(721),The landscaper called the janitor.,-40.505252838134766,9
tensor(722),The landscaper was called by the janitor.,-44.93827819824219,11
tensor(723),The janitor was called by the landscaper.,-46.12655258178711,11
tensor(724),The custodian phoned the gardener.,-46.129371643066406,10
tensor(725),The gardener phoned the custodian.,-47.39702224731445,10
tensor(726),The gardener was phoned by the custodian.,-49.39851379394531,12
tensor(727),The custodian was phoned by the gardener.,-49.02549362182617,12
tensor(728),The drummer annoyed the weatherman.,-46.45641326904297,8
tensor(729),The weatherman annoyed the drummer.,-43.77006530761719,8
tensor(730),The weatherman was annoyed by the drummer.,-45.10293197631836,10
tensor(731),The drummer was annoyed by the weatherman.,-48.962646484375,10
tensor(732),The percussionist displeased the meteorologist.,-54.49750518798828,10
tensor(733),The meteorologist displeased the percussionist.,-57.74559783935547,10
tensor(734),The meteorologist was displeased by the percussionist.,-60.016780853271484,12
tensor(735),The percussionist was displeased by the meteorologist.,-59.03643798828125,12
tensor(736),The go-between belittled the defendant.,-59.29349899291992,11
tensor(737),The defendant belittled the go-between.,-50.848636627197266,11
tensor(738),The defendant was belittled by the go-between.,-55.216339111328125,13
tensor(739),The go-between was belittled by the defendant.,-59.82722091674805,13
tensor(740),The intermediary deprecated the felon.,-56.050331115722656,7
tensor(741),The felon deprecated the intermediary.,-52.810672760009766,7
tensor(742),The felon was deprecated by the intermediary.,-58.85860061645508,9
tensor(743),The intermediary was deprecated by the felon.,-59.495994567871094,9
tensor(744),The valet entertained the envoy.,-50.17027282714844,8
tensor(745),The envoy entertained the valet.,-52.25141906738281,8
tensor(746),The envoy was entertained by the valet.,-50.87525177001953,10
tensor(747),The valet was entertained by the envoy.,-52.79671096801758,10
tensor(748),The manservant amused the emissary.,-55.74834060668945,11
tensor(749),The emissary amused the manservant.,-56.55996322631836,11
tensor(750),The emissary was amused by the manservant.,-54.88921356201172,13
tensor(751),The manservant was amused by the emissary.,-57.13628387451172,13
tensor(752),The acrobat pushed the stranger.,-47.633853912353516,8
tensor(753),The stranger pushed the acrobat.,-48.576087951660156,8
tensor(754),The stranger was pushed by the acrobat.,-50.40235137939453,10
tensor(755),The acrobat was pushed by the stranger.,-50.477088928222656,10
tensor(756),The gymnast shoved the outsider.,-50.63819885253906,8
tensor(757),The outsider shoved the gymnast.,-52.20435333251953,8
tensor(758),The outsider was shoved by the gymnast.,-53.76118087768555,10
tensor(759),The gymnast was shoved by the outsider.,-53.54572296142578,10
tensor(760),The benefactor calmed the architect.,-51.5788688659668,8
tensor(761),The architect calmed the benefactor.,-51.62526321411133,8
tensor(762),The architect was calmed by the benefactor.,-54.27641677856445,10
tensor(763),The benefactor was calmed by the architect.,-53.93836975097656,10
tensor(764),The patron soothed the draftsman.,-51.643836975097656,10
tensor(765),The draftsman soothed the patron.,-55.59185791015625,10
tensor(766),The draftsman was soothed by the patron.,-58.429622650146484,12
tensor(767),The patron was soothed by the draftsman.,-55.665260314941406,12
tensor(768),The therapist lauded the hairdresser.,-48.5203971862793,10
tensor(769),The hairdresser lauded the therapist.,-49.95734405517578,10
tensor(770),The hairdresser was lauded by the therapist.,-49.00389099121094,12
tensor(771),The therapist was lauded by the hairdresser.,-51.271968841552734,12
tensor(772),The psychologist extolled the hairstylist.,-55.919898986816406,11
tensor(773),The hairstylist extolled the psychologist.,-57.372501373291016,11
tensor(774),The hairstylist was extolled by the psychologist.,-58.17729187011719,13
tensor(775),The psychologist was extolled by the hairstylist.,-56.39588165283203,13
tensor(776),The nobleman married the baroness.,-45.667232513427734,10
tensor(777),The baroness married the nobleman.,-44.50748825073242,10
tensor(778),The baroness was married by the nobleman.,-51.08378219604492,12
tensor(779),The nobleman was married by the baroness.,-51.05936050415039,12
tensor(780),The aristocrat wed the countess.,-49.24495315551758,9
tensor(781),The countess wed the aristocrat.,-47.601219177246094,9
tensor(782),The countess was wed by the aristocrat.,-57.032569885253906,11
tensor(783),The aristocrat was wed by the countess.,-55.13422775268555,11
tensor(784),The actuary assuaged the creditor.,-54.76931381225586,10
tensor(785),The creditor assuaged the actuary.,-57.9204216003418,10
tensor(786),The creditor was assuaged by the actuary.,-54.6373291015625,12
tensor(787),The actuary was assuaged by the creditor.,-58.16107177734375,12
tensor(788),The analyst relieved the investor.,-47.24709701538086,7
tensor(789),The investor relieved the analyst.,-50.183074951171875,7
tensor(790),The investor was relieved by the analyst.,-47.42239761352539,9
tensor(791),The analyst was relieved by the investor.,-48.330650329589844,9
tensor(792),The sailor frightened the psychic.,-47.802833557128906,7
tensor(793),The psychic frightened the sailor.,-46.22126388549805,7
tensor(794),The psychic was frightened by the sailor.,-49.429443359375,9
tensor(795),The sailor was frightened by the psychic.,-49.26495361328125,9
tensor(796),The mariner scared the fortune-teller.,-53.0104866027832,11
tensor(797),The fortune-teller scared the mariner.,-52.3775520324707,11
tensor(798),The fortune-teller was scared by the mariner.,-56.69619369506836,13
tensor(799),The mariner was scared by the fortune-teller.,-56.4442253112793,13
tensor(800),The assistant flattered the auditor.,-49.792266845703125,8
tensor(801),The auditor flattered the assistant.,-53.12067794799805,8
tensor(802),The auditor was flattered by the assistant.,-50.673519134521484,10
tensor(803),The assistant was flattered by the auditor.,-51.58112335205078,10
tensor(804),The helper complimented the appraiser.,-52.46642303466797,9
tensor(805),The appraiser complimented the helper.,-49.60342788696289,9
tensor(806),The appraiser was complimented by the helper.,-51.108001708984375,11
tensor(807),The helper was complimented by the appraiser.,-52.3701286315918,11
tensor(808),The immigrant believed the trooper.,-52.33592224121094,7
tensor(809),The trooper believed the immigrant.,-48.01377868652344,7
tensor(810),The trooper was believed by the immigrant.,-56.81631088256836,9
tensor(811),The immigrant was believed by the trooper.,-56.00648498535156,9
tensor(812),The foreigner trusted the patrolman.,-52.638946533203125,8
tensor(813),The patrolman trusted the foreigner.,-53.196998596191406,8
tensor(814),The patrolman was trusted by the foreigner.,-54.76109313964844,10
tensor(815),The foreigner was trusted by the patrolman.,-55.43194580078125,10
tensor(816),The mapmaker affronted the farmer.,-56.5378532409668,10
tensor(817),The farmer affronted the mapmaker.,-53.39434051513672,10
tensor(818),The farmer was affronted by the mapmaker.,-52.122222900390625,12
tensor(819),The mapmaker was affronted by the farmer.,-57.20537567138672,12
tensor(820),The cartographer insulted the rancher.,-52.169464111328125,9
tensor(821),The rancher insulted the cartographer.,-50.031219482421875,9
tensor(822),The rancher was insulted by the cartographer.,-52.06045150756836,11
tensor(823),The cartographer was insulted by the rancher.,-54.01826477050781,11
tensor(824),The poet awed the entertainer.,-51.77052307128906,9
tensor(825),The entertainer awed the poet.,-54.62128448486328,9
tensor(826),The entertainer was awed by the poet.,-53.2663459777832,11
tensor(827),The poet was awed by the entertainer.,-51.13071823120117,11
tensor(828),The lyricist dazzled the performer.,-52.94591522216797,9
tensor(829),The performer dazzled the lyricist.,-53.07305908203125,9
tensor(830),The performer was dazzled by the lyricist.,-52.250022888183594,11
tensor(831),The lyricist was dazzled by the performer.,-54.53563690185547,11
tensor(832),The peddler tested the manager.,-46.64702224731445,8
tensor(833),The manager tested the peddler.,-46.67912673950195,8
tensor(834),The manager was tested by the peddler.,-50.79157638549805,10
tensor(835),The peddler was tested by the manager.,-49.379940032958984,10
tensor(836),The traveling salesman challenged the executive.,-48.37651062011719,8
tensor(837),The executive challenged the traveling salesman.,-48.306549072265625,8
tensor(838),The executive was challenged by the traveling salesman.,-50.31258773803711,10
tensor(839),The traveling salesman was challenged by the executive.,-51.5880241394043,10
tensor(840),The musician admired the diva.,-47.24943923950195,8
tensor(841),The diva admired the musician.,-48.31404113769531,8
tensor(842),The diva was admired by the musician.,-50.89242172241211,10
tensor(843),The musician was admired by the diva.,-50.75282287597656,10
tensor(844),The instrumentalist adored the prima donna.,-56.46247100830078,12
tensor(845),The prima donna adored the instrumentalist.,-60.2487678527832,12
tensor(846),The prima donna was adored by the instrumentalist.,-63.066978454589844,14
tensor(847),The instrumentalist was adored by the prima donna.,-61.86669158935547,14
tensor(848),The general welcomed the hero.,-41.873165130615234,7
tensor(849),The hero welcomed the general.,-43.681007385253906,7
tensor(850),The hero was welcomed by the general.,-43.469757080078125,9
tensor(851),The general was welcomed by the hero.,-46.119380950927734,9
tensor(852),The commander greeted the champion.,-44.798828125,7
tensor(853),The champion greeted the commander.,-44.9945182800293,7
tensor(854),The champion was greeted by the commander.,-46.46561050415039,9
tensor(855),The commander was greeted by the champion.,-46.85233688354492,9
tensor(856),The cobbler disdained the stonecutter.,-59.12744903564453,13
tensor(857),The stonecutter disdained the cobbler.,-58.28718566894531,13
tensor(858),The stonecutter was disdained by the cobbler.,-58.59185028076172,15
tensor(859),The cobbler was disdained by the stonecutter.,-59.85520553588867,15
tensor(860),The shoemaker scorned the mason.,-50.38008499145508,10
tensor(861),The mason scorned the shoemaker.,-47.04206848144531,10
tensor(862),The mason was scorned by the shoemaker.,-54.45835876464844,12
tensor(863),The shoemaker was scorned by the mason.,-55.261756896972656,12
tensor(864),The postman noticed the chaplain.,-47.54587936401367,9
tensor(865),The chaplain noticed the postman.,-48.46307373046875,9
tensor(866),The chaplain was noticed by the postman.,-49.028053283691406,11
tensor(867),The postman was noticed by the chaplain.,-48.69732666015625,11
tensor(868),The mailman saw the minister.,-43.321372985839844,8
tensor(869),The minister saw the mailman.,-41.44356155395508,8
tensor(870),The minister was seen by the mailman.,-52.7943115234375,10
tensor(871),The mailman was seen by the minister.,-46.25204849243164,10
tensor(872),The composer begrudged the playwright.,-49.085445404052734,11
tensor(873),The playwright begrudged the composer.,-48.52278518676758,11
tensor(874),The playwright was begrudged by the composer.,-51.77680206298828,13
tensor(875),The composer was begrudged by the playwright.,-51.70201873779297,13
tensor(876),The songwriter envied the dramatist.,-56.44559097290039,11
tensor(877),The dramatist envied the songwriter.,-54.12630844116211,11
tensor(878),The dramatist was envied by the songwriter.,-55.69611358642578,13
tensor(879),The songwriter was envied by the dramatist.,-57.880149841308594,13
tensor(880),The missionary baffled the oracle.,-50.77275848388672,8
tensor(881),The oracle baffled the missionary.,-47.54480743408203,8
tensor(882),The oracle was baffled by the missionary.,-51.307220458984375,10
tensor(883),The missionary was baffled by the oracle.,-50.691253662109375,10
tensor(884),The evangelist mystified the soothsayer.,-51.061527252197266,11
tensor(885),The soothsayer mystified the evangelist.,-52.913604736328125,11
tensor(886),The soothsayer was mystified by the evangelist.,-55.51948928833008,13
tensor(887),The evangelist was mystified by the soothsayer.,-51.70088195800781,13
tensor(888),The trespasser choked the fighter.,-48.339080810546875,8
tensor(889),The fighter choked the trespasser.,-48.22825241088867,8
tensor(890),The fighter was choked by the trespasser.,-50.52491760253906,10
tensor(891),The trespasser was choked by the fighter.,-51.45755386352539,10
tensor(892),The broker introduced the donor.,-48.02019500732422,7
tensor(893),The donor introduced the broker.,-46.41891860961914,7
tensor(894),The donor was introduced by the broker.,-47.73869323730469,9
tensor(895),The broker was introduced by the donor.,-47.70777130126953,9
tensor(896),The dealer presented the sponsor.,-43.48396682739258,7
tensor(897),The sponsor presented the dealer.,-46.19935989379883,7
tensor(898),The sponsor was presented by the dealer.,-44.30489730834961,9
tensor(899),The dealer was presented by the sponsor.,-48.30442810058594,9
tensor(900),The shrink commended the dean.,-51.239070892333984,8
tensor(901),The dean commended the shrink.,-49.31315612792969,8
tensor(902),The dean was commended by the shrink.,-52.397613525390625,10
tensor(903),The shrink was commended by the dean.,-50.888858795166016,10
tensor(904),The psychiatrist applauded the provost.,-51.331233978271484,8
tensor(905),The provost applauded the psychiatrist.,-50.50667190551758,8
